STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00047821,SAN JOSE,9/1/07,0,0,0,90,64,73
USC00047821,SAN JOSE,9/2/07,0,0,0,91,,68
USC00047821,SAN JOSE,9/3/07,0,0,0,83,62,66
USC00047821,SAN JOSE,9/4/07,0,0,0,74,64,64
USC00047821,SAN JOSE,9/5/07,0,0,0,,59,70
USC00047821,SAN JOSE,9/6/07,0,0,0,87,,
USC00047821,SAN JOSE,9/7/07,0,0,0,77,62,62
USC00047821,SAN JOSE,9/8/07,0,0,0,75,61,61
USC00047821,SAN JOSE,9/9/07,0,0,0,73,61,62
USC00047821,SAN JOSE,9/10/07,0,0,0,75,60,
USC00047821,SAN JOSE,9/11/07,0,0,0,71,61,
USC00047821,SAN JOSE,9/12/07,0,0,0,69,61,62
USC00047821,SAN JOSE,9/13/07,0,0,0,75,56,65
USC00047821,SAN JOSE,9/14/07,0,0,0,75,60,65
USC00047821,SAN JOSE,9/15/07,0,0,0,,56,
USC00047821,SAN JOSE,9/16/07,0,0,0,71,,62
USC00047821,SAN JOSE,9/17/07,0,0,0,74,58,63
USC00047821,SAN JOSE,9/18/07,0,0,0,74,57,57
USC00047821,SAN JOSE,9/19/07,0,0,0,68,54,57
USC00047821,SAN JOSE,9/20/07,0,0,0,72,51,59
USC00047821,SAN JOSE,9/21/07,0,0,0,,58,64
USC00047821,SAN JOSE,9/22/07,0.29,0,0,,,
USC00047821,SAN JOSE,9/23/07,0,0,0,,,
USC00047821,SAN JOSE,9/24/07,0,0,0,,,
USC00047821,SAN JOSE,9/25/07,0,0,0,,,
USC00047821,SAN JOSE,9/26/07,0,0,0,,,
USC00047821,SAN JOSE,9/27/07,,0,0,,,
USC00047821,SAN JOSE,9/28/07,,0,0,,,
USC00047821,SAN JOSE,9/29/07,,0,0,,,
USC00047821,SAN JOSE,9/30/07,0,0,0,80,46,57
USW00023293,SAN JOSE,9/1/07,0,,,92,63,
USW00023293,SAN JOSE,9/2/07,0,,,95,60,
USW00023293,SAN JOSE,9/3/07,0,,,85,61,
USW00023293,SAN JOSE,9/4/07,0,,,77,62,
USW00023293,SAN JOSE,9/5/07,0,,,91,58,
USW00023293,SAN JOSE,9/6/07,0,,,88,64,
USW00023293,SAN JOSE,9/7/07,0,,,79,60,
USW00023293,SAN JOSE,9/8/07,0,,,77,60,
USW00023293,SAN JOSE,9/9/07,0,,,77,62,
USW00023293,SAN JOSE,9/10/07,0,,,77,59,
USW00023293,SAN JOSE,9/11/07,0,,,74,59,
USW00023293,SAN JOSE,9/12/07,0,,,73,61,
USW00023293,SAN JOSE,9/13/07,0,,,78,55,
USW00023293,SAN JOSE,9/14/07,0,,,78,59,
USW00023293,SAN JOSE,9/15/07,0,,,74,56,
USW00023293,SAN JOSE,9/16/07,0,,,74,59,
USW00023293,SAN JOSE,9/17/07,0,,,76,55,
USW00023293,SAN JOSE,9/18/07,0,,,77,55,
USW00023293,SAN JOSE,9/19/07,0,,,68,52,
USW00023293,SAN JOSE,9/20/07,0,,,72,50,
USW00023293,SAN JOSE,9/21/07,0,,,78,58,
USW00023293,SAN JOSE,9/22/07,0,,,66,56,
USW00023293,SAN JOSE,9/23/07,0,,,71,53,
USW00023293,SAN JOSE,9/24/07,0,,,80,51,
USW00023293,SAN JOSE,9/25/07,0,,,85,51,
USW00023293,SAN JOSE,9/26/07,0,,,89,55,
USW00023293,SAN JOSE,9/27/07,0,,,82,56,
USW00023293,SAN JOSE,9/28/07,0,,,68,53,
USW00023293,SAN JOSE,9/29/07,0,,,74,49,
USW00023293,SAN JOSE,9/30/07,0,,,80,46,
USW00023293,SAN JOSE,10/1/07,0,,,73,55,
USW00023293,SAN JOSE,10/2/07,0,,,81,52,
USW00023293,SAN JOSE,10/3/07,0,,,75,53,
USW00023293,SAN JOSE,10/4/07,0,,,70,50,
USW00023293,SAN JOSE,10/5/07,0,,,64,49,
USW00023293,SAN JOSE,10/6/07,0,,,73,44,
USW00023293,SAN JOSE,10/7/07,0,,,78,46,
USW00023293,SAN JOSE,10/8/07,0,,,81,52,
USW00023293,SAN JOSE,10/9/07,0,,,71,49,
USW00023293,SAN JOSE,10/10/07,0.08,,,70,53,
USW00023293,SAN JOSE,10/11/07,0,,,71,48,
USW00023293,SAN JOSE,10/12/07,1.02,,,64,54,
USW00023293,SAN JOSE,10/13/07,0,,,71,51,
USW00023293,SAN JOSE,10/14/07,0,,,69,50,
USW00023293,SAN JOSE,10/15/07,0.05,,,71,53,
USW00023293,SAN JOSE,10/16/07,0,,,65,51,
USW00023293,SAN JOSE,10/17/07,0,,,68,49,
USW00023293,SAN JOSE,10/18/07,0,,,76,49,
USW00023293,SAN JOSE,10/19/07,0.04,,,73,56,
USW00023293,SAN JOSE,10/20/07,0,,,66,51,
USW00023293,SAN JOSE,10/21/07,0,,,75,50,
USW00023293,SAN JOSE,10/22/07,0,,,83,49,
USW00023293,SAN JOSE,10/23/07,0,,,86,51,
USW00023293,SAN JOSE,10/24/07,0,,,84,52,
USW00023293,SAN JOSE,10/25/07,0,,,71,52,
USW00023293,SAN JOSE,10/26/07,0,,,71,48,
USW00023293,SAN JOSE,10/27/07,0,,,69,51,
USW00023293,SAN JOSE,10/28/07,0,,,78,51,
USW00023293,SAN JOSE,10/29/07,0.09,,,66,55,
USW00023293,SAN JOSE,10/30/07,0,,,64,55,
USW00023293,SAN JOSE,10/31/07,0,,,65,54,
USW00023293,SAN JOSE,11/1/07,0,,,69,53,
USW00023293,SAN JOSE,11/2/07,0,,,76,48,
USW00023293,SAN JOSE,11/3/07,0,,,80,46,
USW00023293,SAN JOSE,11/4/07,0,,,78,47,
USW00023293,SAN JOSE,11/5/07,0,,,70,47,
USW00023293,SAN JOSE,11/6/07,0,,,66,51,
USW00023293,SAN JOSE,11/7/07,0,,,65,49,
USW00023293,SAN JOSE,11/8/07,0,,,59,51,
USW00023293,SAN JOSE,11/9/07,0,,,67,49,
USW00023293,SAN JOSE,11/10/07,0.35,,,67,48,
USW00023293,SAN JOSE,11/11/07,0.2,,,65,48,
USW00023293,SAN JOSE,11/12/07,0,,,72,42,
USW00023293,SAN JOSE,11/13/07,0,,,73,49,
USW00023293,SAN JOSE,11/14/07,0,,,75,50,
USW00023293,SAN JOSE,11/15/07,0,,,73,49,
USW00023293,SAN JOSE,11/16/07,0,,,65,54,
USW00023293,SAN JOSE,11/17/07,0,,,68,50,
USW00023293,SAN JOSE,11/18/07,0,,,65,53,
USW00023293,SAN JOSE,11/19/07,0,,,69,49,
USW00023293,SAN JOSE,11/20/07,0,,,65,45,
USW00023293,SAN JOSE,11/21/07,0,,,65,41,
USW00023293,SAN JOSE,11/22/07,0,,,66,38,
USW00023293,SAN JOSE,11/23/07,0,,,70,37,
USW00023293,SAN JOSE,11/24/07,0,,,64,37,
USW00023293,SAN JOSE,11/25/07,0,,,60,45,
USW00023293,SAN JOSE,11/26/07,0,,,65,40,
USW00023293,SAN JOSE,11/27/07,0,,,65,43,
USW00023293,SAN JOSE,11/28/07,0,,,67,44,
USW00023293,SAN JOSE,11/29/07,0,,,63,38,
USW00023293,SAN JOSE,11/30/07,0,,,57,39,
USW00023293,SAN JOSE,12/1/07,0,,,57,36,
USW00023293,SAN JOSE,12/2/07,0,,,60,44,
USW00023293,SAN JOSE,12/3/07,0,,,68,49,
USW00023293,SAN JOSE,12/4/07,0.18,,,62,53,
USW00023293,SAN JOSE,12/5/07,0,,,64,50,
USW00023293,SAN JOSE,12/6/07,0.15,,,58,48,
USW00023293,SAN JOSE,12/7/07,0.11,,,57,44,
USW00023293,SAN JOSE,12/8/07,0,,,53,42,
USW00023293,SAN JOSE,12/9/07,0,,,58,37,
USW00023293,SAN JOSE,12/10/07,0,,,58,35,
USW00023293,SAN JOSE,12/11/07,0,,,59,39,
USW00023293,SAN JOSE,12/12/07,0,,,57,33,
USW00023293,SAN JOSE,12/13/07,0,,,59,33,
USW00023293,SAN JOSE,12/14/07,0,,,58,34,
USW00023293,SAN JOSE,12/15/07,0,,,57,39,
USW00023293,SAN JOSE,12/16/07,0,,,56,41,
USW00023293,SAN JOSE,12/17/07,0.03,,,59,48,
USW00023293,SAN JOSE,12/18/07,0.52,,,61,43,
USW00023293,SAN JOSE,12/19/07,0,,,59,40,
USW00023293,SAN JOSE,12/20/07,0.23,,,55,42,
USW00023293,SAN JOSE,12/21/07,0,,,53,35,
USW00023293,SAN JOSE,12/22/07,0,,,54,32,
USW00023293,SAN JOSE,12/23/07,0,,,59,35,
USW00023293,SAN JOSE,12/24/07,0,,,59,42,
USW00023293,SAN JOSE,12/25/07,0,,,59,38,
USW00023293,SAN JOSE,12/26/07,0.02,,,53,41,
USW00023293,SAN JOSE,12/27/07,0.02,,,49,35,
USW00023293,SAN JOSE,12/28/07,0.01,,,49,42,
USW00023293,SAN JOSE,12/29/07,0.02,,,55,45,
USW00023293,SAN JOSE,12/30/07,0,,,54,44,
USW00023293,SAN JOSE,12/31/07,0,,,61,40,
USW00023293,SAN JOSE,1/1/08,0,0,0,58,33,
USW00023293,SAN JOSE,1/2/08,0,0,0,59,34,
USW00023293,SAN JOSE,1/3/08,0.18,,0,60,47,
USW00023293,SAN JOSE,1/4/08,1.71,,0,62,48,
USW00023293,SAN JOSE,1/5/08,0.69,,0,53,45,
USW00023293,SAN JOSE,1/6/08,0.03,,0,52,39,
USW00023293,SAN JOSE,1/7/08,0.02,,0,54,43,
USW00023293,SAN JOSE,1/8/08,0.05,,0,51,40,
USW00023293,SAN JOSE,1/9/08,0,,0,52,42,
USW00023293,SAN JOSE,1/10/08,0.06,,0,57,48,
USW00023293,SAN JOSE,1/11/08,0,0,0,57,49,
USW00023293,SAN JOSE,1/12/08,0,0,0,60,45,
USW00023293,SAN JOSE,1/13/08,0,0,0,60,40,
USW00023293,SAN JOSE,1/14/08,0,0,0,59,36,
USW00023293,SAN JOSE,1/15/08,0.01,,0,51,40,
USW00023293,SAN JOSE,1/16/08,0,0,0,58,39,
USW00023293,SAN JOSE,1/17/08,0,0,0,60,35,
USW00023293,SAN JOSE,1/18/08,0,0,0,62,35,
USW00023293,SAN JOSE,1/19/08,0,0,0,61,35,
USW00023293,SAN JOSE,1/20/08,0,,0,52,36,
USW00023293,SAN JOSE,1/21/08,0.88,,0,50,40,
USW00023293,SAN JOSE,1/22/08,0.14,,0,52,40,
USW00023293,SAN JOSE,1/23/08,0.1,,0,48,42,
USW00023293,SAN JOSE,1/24/08,0.14,,0,48,41,
USW00023293,SAN JOSE,1/25/08,0.53,,0,56,43,
USW00023293,SAN JOSE,1/26/08,0.5,0,0,64,53,
USW00023293,SAN JOSE,1/27/08,0.42,,0,57,44,
USW00023293,SAN JOSE,1/28/08,0.1,,0,52,37,
USW00023293,SAN JOSE,1/29/08,0.01,,0,49,34,
USW00023293,SAN JOSE,1/30/08,0.03,,0,53,39,
USW00023293,SAN JOSE,1/31/08,0,0,0,54,40,
USW00023293,SAN JOSE,2/1/08,0,0,0,53,37,
USW00023293,SAN JOSE,2/2/08,0.06,0,0,50,37,
USW00023293,SAN JOSE,2/3/08,0.11,0,0,53,46,
USW00023293,SAN JOSE,2/4/08,0,0,0,56,38,
USW00023293,SAN JOSE,2/5/08,0,0,0,58,34,
USW00023293,SAN JOSE,2/6/08,0,0,0,57,40,
USW00023293,SAN JOSE,2/7/08,0,0,0,61,37,
USW00023293,SAN JOSE,2/8/08,0,0,0,64,46,
USW00023293,SAN JOSE,2/9/08,0,0,0,68,39,
USW00023293,SAN JOSE,2/10/08,0,0,0,67,40,
USW00023293,SAN JOSE,2/11/08,0,0,0,68,41,
USW00023293,SAN JOSE,2/12/08,0,0,0,71,43,
USW00023293,SAN JOSE,2/13/08,0,0,0,63,45,
USW00023293,SAN JOSE,2/14/08,0,0,0,61,44,
USW00023293,SAN JOSE,2/15/08,0,0,0,66,37,
USW00023293,SAN JOSE,2/16/08,0,0,0,62,39,
USW00023293,SAN JOSE,2/17/08,0,0,0,58,42,
USW00023293,SAN JOSE,2/18/08,0,0,0,58,46,
USW00023293,SAN JOSE,2/19/08,0.66,,0,59,45,
USW00023293,SAN JOSE,2/20/08,0.03,,0,59,47,
USW00023293,SAN JOSE,2/21/08,0.1,,0,55,48,
USW00023293,SAN JOSE,2/22/08,0.1,,0,55,49,
USW00023293,SAN JOSE,2/23/08,0.04,,0,55,39,
USW00023293,SAN JOSE,2/24/08,0.71,0,0,60,47,
USW00023293,SAN JOSE,2/25/08,0,,0,60,48,
USW00023293,SAN JOSE,2/26/08,0,0,0,67,40,
USW00023293,SAN JOSE,2/27/08,0,0,0,68,45,
USW00023293,SAN JOSE,2/28/08,0,0,0,72,44,
USW00023293,SAN JOSE,2/29/08,0,0,0,65,50,
USW00023293,SAN JOSE,3/1/08,0,,,60,48,
USW00023293,SAN JOSE,3/2/08,0,,,66,40,
USW00023293,SAN JOSE,3/3/08,0,,,70,39,
USW00023293,SAN JOSE,3/4/08,0,,,67,39,
USW00023293,SAN JOSE,3/5/08,0,,,68,42,
USW00023293,SAN JOSE,3/6/08,0,,,65,41,
